,fsym_id,bbg_id,ticker,bm_id,pid,strategy,rdate
0,B19ST9-R,/bbgid/BBG000BNBDC2,LLY US,SP500,,US,2021-09-30
1,B3DVXC-R,/bbgid/BBG000BJDB15,FCX US,SP500,,,2021-09-30
2,B4L66G-R,/bbgid/BBG000BQT4L6,PBCT US,SP500,,,2021-09-30
3,B4PGFJ-R,/bbgid/BBG00FN64XT9,DXC US,SP500,,,2021-09-30
4,B6V0BZ-R,/bbgid/BBG000BCVG28,POOL US,SP500,,US,2021-09-30
5,B6ZP8C-R,/bbgid/BBG000BKY1G5,WELL US,SP500,,,2021-09-30
6,B6ZXQL-R,/bbgid/BBG000DHPN63,O US,SP500,,,2021-09-30
7,B71DJZ-R,/bbgid/BBG000CHWP52,DISCA US,SP500,,,2021-09-30
8,B81TLL-R,/bbgid/BBG00KHY5S69,AVGO US,SP500,BG001,,2021-09-30
9,B83YJG-R,/bbgid/BBG00H433CR2,EVRG US,SP500,,,2021-09-30
10,B8ZY81-R,/bbgid/BBG00ZQRGW24,OGN US,SP500,,,2021-09-30
11,B97MP0-R,/bbgid/BBG000B9Z0J8,PLD US,SP500,,,2021-09-30
12,BCD4JF-R,/bbgid/BBG000BJP882,FMC US,SP500,,,2021-09-30
13,BDQDB8-R,/bbgid/BBG000NV1KK7,DG US,SP500,BG001,US,2021-09-30
14,BFSY5M-R,/bbgid/BBG000BNJHS8,LUV US,SP500,,,2021-09-30
15,BJ2HRV-R,/bbgid/BBG000BT41Q8,SLB US,SP500,,,2021-09-30
16,BK2FRW-R,/bbgid/BBG000MDCQC2,ABC US,SP500,,,2021-09-30
17,BK6JKQ-R,/bbgid/BBG000BVDLH9,TMO US,SP500,BG001,US,2021-09-30
18,BL5KVX-R,/bbgid/BBG000F6H8W8,COST US,SP500,,,2021-09-30
19,BM9QXX-R,/bbgid/BBG000DKCC19,TSN US,SP500,,,2021-09-30
20,BNJBN6-R,/bbgid/BBG000QTF8K1,DXCM US,SP500,,,2021-09-30
21,BPRHF0-R,/bbgid/BBG000BHGDH5,DUK US,SP500,,,2021-09-30
22,BQR5YT-R,/bbgid/BBG000C3NTN5,HOLX US,SP500,,,2021-09-30
23,BQWWY7-R,/bbgid/BBG000BMW2Z0,KMB US,SP500,,,2021-09-30
24,BRWKF0-R,/bbgid/BBG000BLXZN1,TSCO US,SP500,,US,2021-09-30
25,BV4P4T-R,/bbgid/BBG000BB6M98,FE US,SP500,,,2021-09-30
26,BV8JHF-R,/bbgid/BBG000BC4JJ4,APD US,SP500,,,2021-09-30
27,BWDZ2P-R,/bbgid/BBG000D9D830,ACN US,SP500,,,2021-09-30
28,BWZ93Y-R,/bbgid/BBG001B4BV87,FBHS US,SP500,,,2021-09-30
29,BYJYYM-R,/bbgid/BBG000BVMGF2,ALL US,SP500,,US,2021-09-30
30,BYNP13-R,/bbgid/BBG000DQTXY6,DHI US,SP500,,US,2021-09-30
31,BYP0PF-R,/bbgid/BBG000C2VBB0,PTC US,SP500,,,2021-09-30
32,BZPFLX-R,/bbgid/BBG000BL46Q4,REG US,SP500,,,2021-09-30
33,C0YGQ6-R,/bbgid/BBG002R1CW27,IR US,SP500,,,2021-09-30
34,C46DK8-R,/bbgid/BBG000BPPN67,PSA US,SP500,,,2021-09-30
35,C4C0BL-R,/bbgid/BBG000CL9VN6,NFLX US,SP500,,,2021-09-30
36,C4HBRT-R,/bbgid/BBG0025Y4RY4,ABBV US,SP500,,,2021-09-30
37,C5GXYC-R,/bbgid/BBG000BM6788,TT US,SP500,,,2021-09-30
38,C7C9TP-R,/bbgid/BBG00BN96922,DOW US,SP500,,,2021-09-30
39,C7M7DL-R,/bbgid/BBG000D9DMK0,LH US,SP500,,,2021-09-30
40,C8WF4C-R,/bbgid/BBG000FV1Z23,CCI US,SP500,,,2021-09-30
41,C8XJ7D-R,/bbgid/BBG000BRDSX5,PNW US,SP500,,,2021-09-30
42,CFG1CD-R,/bbgid/BBG000TRJ294,AWK US,SP500,,,2021-09-30
43,CGGG4R-R,/bbgid/BBG000BPWXK1,NEM US,SP500,,US,2021-09-30
44,CHK9QJ-R,/bbgid/BBG000BMDBZ1,JBHT US,SP500,,,2021-09-30
45,CHKL7S-R,/bbgid/BBG000BNDN65,LOW US,SP500,,US,2021-09-30
46,CHR1NX-R,/bbgid/BBG000C5Z1S3,MU US,SP500,,,2021-09-30
47,CJVKH9-R,/bbgid/BBG000BFS7D3,CLX US,SP500,,,2021-09-30
48,CL1QH9-R,/bbgid/BBG000BCMBG4,FTNT US,SP500,,,2021-09-30
49,CN7T72-R,/bbgid/BBG000GXZ4W7,ANSS US,SP500,,,2021-09-30
50,CPCV0Y-R,/bbgid/BBG000BSFRF3,SNPS US,SP500,,,2021-09-30
51,CPCW2Z-R,/bbgid/BBG000BGPTV6,CMI US,SP500,,,2021-09-30
52,CRHPMR-R,/bbgid/BBG000C221G9,PNR US,SP500,,,2021-09-30
53,CRP3ZV-R,/bbgid/BBG000BX9WL1,ZION US,SP500,,,2021-09-30
54,CSFJSZ-R,/bbgid/BBG005P7Q881,AAL US,SP500,,,2021-09-30
55,CSMTMQ-R,/bbgid/BBG000BWXBC2,WMT US,SP500,,,2021-09-30
56,CTYNJ1-R,/bbgid/BBG000BK6MB5,GE US,SP500,,,2021-09-30
57,CY644B-R,/bbgid/BBG000BLZRJ2,MS US,SP500,,US,2021-09-30
58,CYB1M0-R,/bbgid/BBG000BBS2Y0,AMGN US,SP500,,,2021-09-30
59,CYB6Y5-R,/bbgid/BBG000BMX289,KO US,SP500,,,2021-09-30
60,CYBC69-R,/bbgid/BBG000BLF8D2,HRL US,SP500,,,2021-09-30
61,CZBYFY-R,/bbgid/BBG000BMTFR4,KLAC US,SP500,,US,2021-09-30
62,D0LDT1-R,/bbgid/BBG000BQBYR3,NVR US,SP500,,,2021-09-30
63,D1P43P-R,/bbgid/BBG000BWJFZ4,CF US,SP500,,,2021-09-30
64,D3VZJC-R,/bbgid/BBG000BS5DR2,RHI US,SP500,,,2021-09-30
65,D502G9-R,/bbgid/BBG000BB9KF2,AEP US,SP500,,,2021-09-30
66,D68983-R,/bbgid/BBG000BFVXX0,CMS US,SP500,,,2021-09-30
67,D8D820-R,/bbgid/BBG000BS9489,OMC US,SP500,,,2021-09-30
68,DBNXVB-R,/bbgid/BBG000DWG505,BRK/B US,SP500,,,2021-09-30
69,DDZB0B-R,/bbgid/BBG000BRNLL2,ALGN US,SP500,,,2021-09-30
70,DF9PT2-R,/bbgid/BBG000BD8PN9,BK US,SP500,,,2021-09-30
71,DG27Q5-R,/bbgid/BBG000BHX7N2,EMR US,SP500,,,2021-09-30
72,DG6SCF-R,/bbgid/BBG000BMZ7P7,KSU US,SP500,,US,2021-09-30
73,DGBZCC-R,/bbgid/BBG000R7Z112,DAL US,SP500,,,2021-09-30
74,DH79H0-R,/bbgid/BBG000BWSV34,WHR US,SP500,,,2021-09-30
75,DH7WLK-R,/bbgid/BBG000BHD8S7,DRE US,SP500,,,2021-09-30
76,DJBQ39-R,/bbgid/BBG000BM9RH1,CPRT US,SP500,,,2021-09-30
77,DJC2TN-R,/bbgid/BBG000BB5006,ADBE US,SP500,,,2021-09-30
78,DJC60R-R,/bbgid/BBG000BDXGP9,CAG US,SP500,,,2021-09-30
